,Model,N (obs),F-val,P-val (F),F-val change,P-val (F-val change)
0,1,1546.0,597.139684767698,9.159653958517076e-112,,
1,2,1546.0,194.17785355286006,6.876195971999602e-135,43.442622528029354,6.0014931591048776e-27
2,3,1546.0,155.78236804761983,4.170842569285563e-134,1.798139274690895,0.18013535613422044
3,4,1546.0,115.73561105948022,1.6762575821394277e-136,10.708358134456104,2.4071404613316824e-05
