,Model,N (obs),F-val,P-val (F),F-val change,P-val (F-val change)
0,1,539.0,230.40865794248646,1.4607799151143851e-43,,
1,2,539.0,155.85634368173714,4.4209597802598475e-54,57.19335063887485,1.727350341703133e-13
2,3,539.0,80.71222640777539,5.384584677552566e-63,19.725985449201517,3.8653019592329835e-12
3,4,539.0,64.75077586305164,3.55672114852878e-67,14.571490690086105,6.906177973553962e-07
