,Model,N (obs),F-val,P-val (F),F-val change,P-val (F-val change)
0,1,962.0,426.73614427023176,9.971253084328792e-79,,
1,2,962.0,215.35997953511475,5.602530738922377e-78,3.065614442829183,0.08028464407538698
2,3,962.0,176.22042021794365,6.655474998894777e-133,103.90789675442527,3.1796295925505726e-58
3,4,962.0,130.93307444824887,8.390176564638851e-135,9.698080946876624,6.767394114055434e-05
