,Model,N (obs),F-val,P-val (F),F-val change,P-val (F-val change)
0,1,1182,363.27,8.1e-71,,
1,2,1182,181.61,1.76e-69,0.19,0.66
2,3,1182,210.71,2.1e-109,205.83,3.85e-43
3,4,1182,129.15,3.88e-109,4.78,0.00855
