,Model,N (obs),F-val,P-val (F),F-val change,P-val (F-val change)
0,1,120,44.89,7.5e-10,,
1,2,120,47.89,6.38e-16,37.14,1.45e-08
2,3,120,31.72,4.77e-15,0.11,0.74
3,4,120,19.59,4.85e-14,1.21,0.3
