,Model,N (obs),F-val,P-val (F),F-val change,P-val (F-val change)
0,1,1879,552.65,2.51e-107,,
1,2,1879,331.93,3.8e-124,86.15,4.46e-20
2,3,1879,221.81,3.87e-123,1.41,0.23
3,4,1879,138.27,5.06e-125,9.84,5.63e-05
